Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,TABLE 16,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Table 17,Unnamed: 14,Unnamed: 15,Unnamed: 16
Weekly Average,1488.3125,1427.6875,-0.04073405282828707,,,Graduate TOTAL,7358,0.11440565964393998,5584,0.09195402298850575,,,Alkek TCMC (K-12 Textbooks),187,88,-0.5294117647058824
Semester Total,23813,22843,-0.04073405282828707,,,,,,,,,,Alkek Testing Collection,17,13,-0.23529411764705882
* Print/Media Collection Checkouts,17624,16847,-0.04408760780753518,,,Student TOTAL,41615,0.6470496773691985,37117,0.6112208938510687,,,Alkek Toy Shelves,18,41,1.2777777777777777
* Reserve ,1174,1360,0.15843270868824533,,,,,,,,,,Alkek Collections - Otherf,166,47,-0.7168674698795181
* Equipment/Keys,2819,3611,0.2809506917346577,,,Faculty ,10503,0.16330560522428672,11118,0.1830846754273293,,,Archives & Research Center,423,615,0.45390070921985815
* Computer/Mifi,2196,1025,-0.5332422586520947,,,,,,,,,,Round Rock Library,779,735,-0.05648267008985879
, , ,,,,Staff,3370,0.052398351861929565,3248,0.05348615090735435,,,Music Library,1327,144,-0.8914845516201959
Summer I (May-June),Summer I 2021,Summer I 2022,% Change,,,,,,,,,,,,,
Weekly Average,1054.5,1151.625,0.09210526315789473,,,Otherc,8827,0.13724636554458525,9243,0.15220827981424762,,,TOTAL,64315,59332,-0.07747803778278783
Summer I Total,8436,9213,0.09210526315789473,,,,,,,,,,,,,
* Print/Media Collection Checkouts,7235,7455,0.0304077401520387,,,,,,,,,,a In-person classes resumed in FY2022.,,,
* Reserve ,122,202,0.6557377049180327,,,Grand Total,64315,1,60726,1,,,b Large portion of DVDs moved to ARC and circulation relocated to 2nd floor,,,
* Equipment/Keys,618,1293,1.0922330097087378,,,,,,,,,,"c Includes Alkek display locations on floors 1, 2, 3, 5 and 6.",,,
* Computer/Mifi,461,263,-0.42950108459869846,,,,,,,,,,d Alkek One opened in August 2020. FY2021 was the first full year of operation.,,,
, , ,,,,a In-person classes resumed in FY2022. ,,,,,,,"e  Secured Collection includes  equipment, books, kits, models, and DVDs.",,,
Summer II (July-Aug),Summer II 2021,Summer II 2022,% Change,,,"b Other includes correspondence students, libraries borrowing from us via interlibrary loan, non-university borrowers, retired faculty and staff, TexShare card holders, and GWLA patrons. Of these, the interlibrary loan is the largest group, with 8,273 interlibrary loan checkouts (12.7 of all of our checkouts).",,,,,,,"f  ""Other"" includes flash-activity cards, posters, charts, and special Wittliff Collections checkouts. ",,,
Weekly Average,867.125,784.625,-0.09514199221565518,,,,,,,,,,,,,
Summer II Total,6937,6277,-0.09514199221565518,,,,,,,,,,,,,
* Print/Media Collection Checkouts,5417,5218,-0.03673620084917851,,,,,,,,,,,,,
* Reserve ,634,179,-0.7176656151419558,,,,,,,,,,,,,
* Equipment/Keys,500,600,0.2,,,,,,,,,,,,,
* Computer/Mifi,386,280,-0.27461139896373055,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"aACRL Survey circulation includes print, media, and reserve circulation but excludes laptop, equipment, and interlibrary loan checkouts. In FY2022, there were 8,164 interlibrary loan checkouts (12.7 of all checkouts).",,,,,,,,,,,,,,,,
