Table 15,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,TABLE 16,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Table 17,Unnamed: 14,Unnamed: 15,Unnamed: 16
CIRCULATION BORROWING RATES FY2022-2023,,,,,,"CIRCULATION BORROWING BY CLASS, FY2022-2023",,,,,,,CIRCULATION OF LIBRARY MATERIALS BY LOCATION,,,
,,,,,,,,,,,,, FY2022 - FY2023,,,
All Locations (Univ Libraries and Music Library),2021-2022a,2022-2023,% Change,,,,,,,,,,,,,
, , ,,,,Class,Number of ,Percent,Number of ,Percent,,,Location,FY2022a,FY2023b,% Change
Annual Total Checkout Transactions,64315,60726,-0.05580346730933686,,,,Loans  FY2022a,of Total,Loans  FY2023,of Total,,,Alkek CD Shelves,214,209,-0.02336448598130841
* Print/Media Collections,47984,46103,-0.03920056685561854,,,,,,,,,,Alkek Checkout Desk/Reserve ,3794,3533,-0.06879283078545072
* Reserve ,3587,3394,-0.053805408419291885,,,,,,,,,,Alkek DVD Shelves,2199,1712,-0.2214643019554343
* Equipment/Keys,7388,8371,0.1330536004331348,,,Freshman,6051,0.09408380626603437,7360,0.12120014491321675,,,Alkek Exhibit Cases/Cartsc,202,337,0.6683168316831684
* Computer/Mifi,5356,2858,-0.4663928304705004,,,,,,,,,,Alkek Game Shelves,102,80,-0.21568627450980393
, , ,,,,Sophomore,5889,0.09156495374329472,6325,0.10415637453479563,,,"Alkek General Collection, Floors 5-6",34276,33279,-0.029087408098961372
Circulation for ACRL Surveya,43407,41333,-0.04778031193125533,,,,,,,,,,Alkek Government Information ,26,57,1.1923076923076923
, , ,,,,Junior,8789,0.13665552359480682,6869,0.11311464611533775,,,Alkek Graphic Novels,1990,2222,0.11658291457286432
Fall Semester (Sept-Dec),Fall 2020,Fall 2021,% Change,,,,,,,,,,Alkek Juvenile Collection,3470,2869,-0.17319884726224785
Weekly Average,1570.5625,1399.5625,-0.10887818854709698,,,Senior/Post grad,13528,0.2103397341211226,10979,0.18079570529921285,,,Alkek Kits,34,19,-0.4411764705882353
Semester Total,25129,22393,-0.10887818854709698,,,,,,,,,,Alkek Laptops,5315,2801,-0.47300094073377236
* Print/Media Collection Checkouts,17708,16583,-0.06353060763496725,,,Undergraduate TOTAL,34257,0.5326440177252585,31533,0.519266870862563,,,Alkek Language Learning Media,35,33,-0.05714285714285714
* Reserve ,1657,1653,-0.0024140012070006035,,,,,,,,,,Alkek Models,41,54,0.3170731707317073
* Equipment/Keys,3451,2867,-0.16922631121414083,,,Masters/Post Grad,6208,0.09652491642696105,4758,0.07835194150775615,,,Alkek New Books Collection,777,802,0.032175032175032175
* Computer/Mifi,2313,1290,-0.44228274967574577,,,,,,,,,,Alkek Oned,306,928,2.0326797385620914
, , ,,,,Doctoral,1150,0.017880743216978932,826,0.013602081480749597,,,Alkek Popular Reading Collection,1011,1170,0.1572700296735905
Spring Semester (Jan-Apr),Spring 2021,Spring 2022,% Change,,,,,,,,,,Alkek Secured Collectione ,7606,7544,-0.00815145937417828
