Month,Year,Engagement Type,Group Engagement Type ,Event Type,Course Instruction Type,Workshop & Presentation Type,Workshop & Presentation Type1,Workshop & Presentation Type2,In Person: Total Number of Sessions,In Person: Total Number of Participants,Online Synchronous: Total Number of Sessions,Online Synchronous: Total Number of Participants,Online Asynchronous: Total Number of Sessions,Area of Representation (Transactions),Online Asynchronous: Total Number of Particpants,Area of Representation (Consultations),Number of Transactions: In-Person,Number of Transactions: Virtual,Area of Representation (Transactions)1,Number of Consultations: In Person,Number of Consultations: Virtual
October,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,1.0,20.0,,,,,,,,,,,
October,2024,Group Sessions,Workshops & Presentations,,,"Online, Synchronous",,,,,3.0,60.0,,,,,,,,,
November,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,1.0,20.0,,,,,,,,,,,
November,2024,Group Sessions,Workshops & Presentations,,,"Online, Synchronous",,,,,1.0,20.0,,,,,,,,,
September,2024,Group Sessions,Tours,,,,,,27.0,678.0,,,,,,,,,,,
October,2024,Group Sessions,Tours,,,,,,21.0,576.0,,,,,,,,,,,
November,2024,Group Sessions,Tours,,,,,,34.0,879.0,,,,,,,,,,,
December,2024,Group Sessions,Tours,,,,,,7.0,137.0,,,,,,,,,,,
October,2024,Group Sessions,Tabling Events,,,,,,1.0,50.0,,,,,,,,,,,
November,2024,Group Sessions,Tours,,,,,,1.0,93.0,,,,,,,,,,,
September,2024,Group Sessions,Events,Sponsored,,,,,2.0,11.0,,,,,,,,,,,
September,2024,Group Sessions,Events,Non-sponsored,,,,,77.0,,,,,,,,,,,,
October,2024,Group Sessions,Events,Sponsored,,,,,2.0,352.0,,,,,,,,,,,
October,2024,Group Sessions,Events,Non-sponsored,,,,,352.0,,,,,,,,,,,,
November,2024,Group Sessions,Events,Sponsored,,,,,1.0,609.0,,,,,,,,,,,
November,2024,Group Sessions,Events,Non-sponsored,,,,,82.0,,,,,,,,,,,,
December,2024,Group Sessions,Events,Non-sponsored,,,,,33.0,,,,,,,,,,,,
September,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,14.0,441.0,,,,,,,,,,,
September,2024,Group Sessions,Course Instruction,,"Online, Synchronous",,,,4.0,84.0,,,,,,,,,,,
September,2024,Group Sessions,Course Instruction,,"Online, Asynchronous",,,,1.0,22.0,,,,,,,,,,,
October,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,5.0,90.0,,,,,,,,,,,
October,2024,Group Sessions,Course Instruction,,"Online, Synchronous",,,,,,1.0,15.0,,,,,,,,,
October,2024,Group Sessions,Course Instruction,,"Online, Asynchronous",,,,,,,,1.0,,28.0,,,,,,
November,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,2.0,72.0,,,,,,,,,,,
November,2024,Group Sessions,Course Instruction,,"Online, Synchronous",,,,,,1.0,7.0,,,,,,,,,
September,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),4.0,
October,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),7.0,
November,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),6.0,
December,2024,Consultations,,,,,,,,,,,,,,,,,AlkekOne (Emerging Technology),6.0,
September,2024,Consultations,,,,,,,,,,,,,,,,,Learning Engagement,40.0,16.0
October,2024,Consultations,,,,,,,,,,,,,,,,,Learning Engagement,24.0,37.0
November,2024,Consultations,,,,,,,,,,,,,,,,,Learning Engagement,8.0,16.0
December,2024,Consultations,,,,,,,,,,,,,,,,,Learning Engagement,8.0,3.0
October,2024,Transactions,,,,,,,,,,,,Public Services,,,110.0,20.0,,,
October,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,1.0,13.0,,,,Round Rock Library,,,,,,,
October,2024,Group Sessions,Tours,,,,,,2.0,18.0,,,,Round Rock Library,,,,,,,
October,2024,Group Sessions,Events,Sponsored,,,,,1.0,7.0,,,,Round Rock Library,,,,,,,
October,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,1.0,20.0,,,,Round Rock Library,,,,,,,
November,2024,Transactions,,,,,,,,,,,,Public Services,,,74.0,21.0,,,
November,2024,Group Sessions,Course Instruction,,"In-person, Synchronous",,,,5.0,108.0,,,,Round Rock Library,,,,,,,
November,2024,Group Sessions,Tours,,,,,,6.0,72.0,,,,Round Rock Library,,,,,,,
November,2024,Group Sessions,Workshops & Presentations,,,"In-person, Synchronous",,,1.0,30.0,,,,Round Rock Library,,,,,,,
November,2024,Group Sessions,Tabling Events,,,,,,1.0,191.0,,,,Round Rock Library,,,,,,,
November,2024,Group Sessions,Events,Sponsored,,,,,2.0,84.0,,,,Round Rock Library,,,,,,,
December,2024,Transactions,,,,,,,,,,,,Public Services,,,40.0,6.0,,,
